stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
MONLEXo,6467,MONTGOMERY RD & LEXINGTON AVE,,39.147416,-84.466679,1,,,,,0
MONHUDo,6471,MONTGOMERY RD & HUDSON AVE,,39.14987,-84.464437,1,,,,,0
MONWILo,6475,MONTGOMERY RD & WILLIAMS AVE,,39.152476,-84.462068,1,,,,,0
MONCAMo,6478,MONTGOMERY RD & CAMERON AVE,,39.154644,-84.460281,1,,,,,0
MONWEYo,6740,MONTGOMERY RD & WEYER AVE,,39.156783,-84.458695,1,,,,,0
MONMILo,6743,MONTGOMERY RD & MILLS AVE,US 22 & LAWRENCE AVE,39.15874,-84.457234,1,,,,,0
MONSHEo,6750,MONTGOMERY RD & SHERMAN AVE,,39.160095,-84.456289,1,,,,,0
MONELMo,6753,MONTGOMERY RD & ELM AVE,,39.161763,-84.455427,1,,,,,0
MONNORo,6756,MONTGOMERY RD & NORWOOD AVE,,39.165301,-84.453824,1,,,,,0
MONLAWo,6761,MONTGOMERY RD & LAWN AVE,,39.169252,-84.45135,1,,,,,0
MONOBRo,7065,MONTGOMERY RD & O BRIEN PL,,39.170123,-84.448417,1,,,,,0
MONQUAo,7070,MONTGOMERY RD & QUATMAN AVE,,39.173133,-84.444324,1,,,,,0
MONCYPo,7072,MONTGOMERY RD & CYPRESS WAY,,39.174137,-84.44356,1,,,,,0
MONRIDo,7630,MONTGOMERY RD & RIDGE RD,,39.182021,-84.427436,1,,,,,0
MONGROo,7074,MONTGOMERY RD & GROVER HILL AVE,,39.175207,-84.441908,1,,,,,0
MONKNIo,7334,MONTGOMERY RD & KNIGHT AVE,US 22 & KNIGHT AVE,39.176551,-84.439681,1,,,,,0
MONOAKo,7335,MONTGOMERY RD & OAKLEAF AVE,,39.177212,-84.438606,1,,,,,0
MONDOUo,7344,MONTGOMERY RD & DOUGLAS TER,,39.17927,-84.434857,1,,,,,0
RIDHIGo,7601,RIDGE RD & HIGHLAND AVE,RIDGE AVE & HIGHLAND AVE,39.169319,-84.424737,1,,,,,0
MONWOODo,7626,MONTGOMERY RD & WOODFORD RD,,39.18161,-84.42906,1,,,,,0
MONWOOo,7633,MONTGOMERY RD & WOODMONT AVE,,39.183457,-84.424609,1,,,,,0
MONGRAo,7635,MONTGOMERY RD & GRAND VISTA  AVE,,39.18426,-84.423258,1,,,,,0
MONROBo,7639,MONTGOMERY RD & ROBISON RD,,39.185501,-84.421001,1,,,,,0
MONBEEo,7839,MONTGOMERY RD & BEECHVIEW CIR,,39.18659,-84.418594,1,,,,,0
MONTYNo,7838,MONTGOMERY RD & TYNE AVE,,39.187924,-84.415453,1,,,,,0
KEN6404,7832,KENNEDY AVE 6404,KENNEDY AVE & ZINSLE AVE,39.185998,-84.414127,1,,,,,0
KENRAVo,7828,KENNEDY AVE & RAVENWOOD AVE,,39.183788,-84.414257,1,,,,,0
KENWOOo,7821,KENNEDY AVE & WOODFORD RD,,39.180121,-84.414599,1,,,,,0
MONALPo,8034,MONTGOMERY RD & ALPINE AVE,,39.192951,-84.401959,2,,,,,0
PLANORo,8045,PLAINFIELD RD & NORTH ST,,39.196426,-84.400195,2,,,,,0
PLAWEBo,8309,PLAINFIELD RD & WEBSTER AVE,,39.198897,-84.399936,2,,,,,0
PLALANo,8314,PLAINFIELD RD & LANDSDOWNE AVE,,39.201276,-84.399726,2,,,,,0
PLASTJo,8319,PLAINFIELD RD & ST JOHNS TER,,39.203072,-84.399518,2,,,,,0
PLAMATo,8324,PLAINFIELD RD & MATSON AVE,,39.205125,-84.399333,2,,,,,0
